times_onestep,sizes_onestep,rsum_onestep,coverage_onestep
89.48967419999826,52,33.337682695685636,1
69.28638099999807,51,32.55180867346282,1
65.60880989999714,49,23.205780252479794,1
13.928837799998291,48,23.98732449548249,1
19.554255900002318,47,26.1876501889297,1
125.24681770000461,47,32.77476941013133,1
50.06007669999963,52,19.67746154687054,1
16.001485399996454,50,23.916661120563518,1
40.86629309999989,51,24.48959727640719,1
82.49271140000201,47,35.93717990768185,1
84.92710529999749,54,32.93175046434513,1
7.988200200001302,55,17.8406149048516,1
7.9590932999999495,56,22.873725501225504,1
97.73659090000001,50,31.565738023645714,1
196.25508470000204,55,32.080423617586014,1
56.14396660000057,58,26.775702143084732,1
128.95853660000284,51,34.85363607810463,1
21.533896100001584,53,20.867825803210508,1
133.79835449999518,51,32.09607020690164,1
36.24754359999497,50,29.641392363915823,1
15.342204799999308,50,27.405146335685203,1
1.9540321999957087,57,7.102991411843865,1
102.52492319999874,52,25.89239399509572,1
64.61231930000213,50,31.27339787213748,1
73.26790299999993,46,34.628909657374635,1
264.8955425999957,50,35.9616509212463,1
26.08173060000263,52,22.428733583706144,1
12.818150799997966,50,23.904195815846244,1
70.71476970000367,52,31.257587613476076,1
18.132207200003904,48,21.038464174461616,1
27.88415530000202,53,30.547286910201514,1
160.8459819999989,50,34.63144329572189,1
106.51097720000689,51,36.73832399238577,1
204.88128380000126,45,35.484866891144115,1
93.64177619999828,48,36.45632706447601,1
7.668098800000735,53,16.83319748462927,1
21.26680050000141,55,22.891243620910444,1
16.27890379999735,56,17.155836206394348,1
18.519738900002267,43,24.156171314713674,1
81.86360479999712,54,31.330298026840087,1
133.7007792000004,54,30.22862758773369,1
3.2141033000007155,52,11.213938241107533,1
72.93575549999514,51,27.450768302310987,1
2.2311971000017365,53,13.36408801566538,1
106.22642030000134,52,33.48952546547946,1
8.744954099995084,57,19.298919984386508,1
84.33396730000095,52,27.275744628073323,1
79.72110619999876,49,33.637611093826834,1
43.32027969999763,49,26.337562251672807,1
4.6787810000023455,56,13.79958788933956,1
2.953595699997095,54,12.099316127637604,1
50.45606000000407,47,36.360243005433546,1
23.082231799999136,50,28.10223642614199,1
113.89095380000072,53,29.490033435054844,1
144.2867522000015,52,31.072296433507486,1
6.721166700001049,52,25.51321509250703,1
93.40472370000498,56,27.684434347735635,1
79.36372689999553,53,30.51629859695312,1
9.132395699998597,56,24.18794072524455,1
6.011595399999351,55,17.90623239618347,1
76.06579870000132,53,33.352942118284076,1
36.017850199998065,45,30.91586283286985,1
180.82909220000147,54,32.655348276896625,1
192.29152610000165,48,31.966837995246955,1
121.18786230000114,51,34.87796604335925,1
6.776470099997823,55,22.345778641109778,1
32.56501810000191,48,32.61741571730761,1
101.09213499999896,52,32.874847693350276,1
3.6226879000023473,58,12.446775258050735,1
8.756051999996998,50,27.305505360185588,1
347.4295503999965,39,36.1200764455162,1
89.01779510000051,50,32.875826522634775,1
38.68695769999613,55,29.82787667500293,1
3.548052899997856,52,13.199849815869786,1
4.488734799997474,46,19.817081957925602,1
166.18682900000567,47,34.44738781546779,1
3.826980600002571,55,12.976964730462136,1
13.42314109999279,41,29.443540290961174,1
46.13465249999717,44,36.41889870158056,1
92.54179200000362,49,35.364702858419584,1
60.95507969999744,44,34.877496117013344,1
60.987852099999145,50,30.818006316620128,1
19.69260110000323,53,26.017437187012543,1
4.449999000004027,52,12.177372663003622,1
32.36913679999998,51,32.20206999605499,1
13.717142800000147,58,20.109668339967264,1
162.080094500001,53,29.39296678271091,1
138.27821939999558,53,28.27849710464222,1
57.53346519999468,48,33.13162363538573,1
4.1794863999966765,55,14.574466590119705,1
4.905820799998764,54,14.010047405243867,1
23.32713999999396,54,31.54654930974481,1
4.146718000003602,57,15.595352065582807,1
90.95947299999534,46,33.92035917918402,1
20.149828899993736,52,24.593068974263748,1
2.797843499996816,55,10.374770067103197,1
124.02280240000255,51,34.23779933499119,1
25.201776200003223,53,18.960576737044136,1
204.52702539999882,51,34.86952585215544,1
81.6874072999999,56,27.358490738751584,1
46.74126989999786,50,30.724242416175517,1
21.6395879000047,54,25.767812034947355,1
16.592470099996717,54,27.782958968604095,1
14.572383700004139,57,26.635223357510867,1
11.425080799999705,54,27.864084954120436,1
16.114429799999925,57,25.89988902442841,1
4.009858699995675,52,10.452734150119472,1
45.45896879999782,56,28.2257707823746,1
87.84430240000074,50,25.55797699112473,1
48.980029899998044,47,27.021087127156505,1
9.42953370000032,59,25.255771957834302,1
2.665524500000174,49,13.904592360875395,1
19.2641272999972,48,29.936433285139014,1
47.258398099998885,48,28.532000329427795,1
18.954407600002014,55,26.42523821767179,1
73.95022179999796,53,26.798114759671098,1
74.65925520000019,50,27.259623396574195,1
3.998681899996882,51,14.214867654701571,1
114.16851049999968,48,28.679511149170196,1
2.380669999998645,53,7.5703406025039754,1
3.4745770000008633,50,12.541114351585845,1
56.170491400000174,47,28.581106553823318,1
12.078634399993462,57,24.348892075413296,1
44.916567100000975,50,30.233400960070405,1
7.951977499993518,58,22.716071649218087,1
14.727854099997785,56,27.652861870896416,1
10.665558699998655,51,24.164124453075278,1
3.811672700001509,53,12.189114006359866,1
3.3406592999963323,46,15.158032796388646,1
20.448165800000424,49,29.727857027480766,1
58.95341490000283,46,30.078366465357373,1
179.6155601999999,38,32.61490526899214,1
23.49720399999933,53,27.959318778331593,1
13.020566200000758,54,21.05617272638128,1
119.18586910000158,45,30.546722734258218,1
44.23385080000298,48,29.11072832481835,1
20.721696799999336,52,28.565591122242243,1
2.3408801999976276,54,8.547172449407789,1
13.38794069999858,50,21.273768054505197,1
44.94855190000089,55,29.083839437886773,1
3.756720099998347,46,15.289323243797257,1
73.52196980000008,51,28.801598392275107,1
25.314248000002408,55,27.389275914993146,1
14.192395199999737,58,20.335635164104424,1
3.9326757000017096,49,15.447524255762437,1
13.150313899997855,54,28.15721256918258,1
145.0134040999983,48,29.814177191997445,1
30.39130920000025,44,30.956121272363678,1
21.499988700001268,48,28.790048251460966,1
8.707949600000575,55,20.81868769415109,1
96.1472963999986,50,28.877060099021687,1
100.02749070000573,49,27.962884827460066,1
147.61213499999576,44,28.984294812802602,1
5.095268999997643,53,18.84606119455317,1
34.42577889999666,52,29.959078359850146,1
3.3712603000021772,54,13.02687951209953,1
