coverage,errors,time,rsum,size
3,0,3.759617800009437,54.66,3
8,3,4.709863399999449,56.88,3
1,0,2.388251200027298,57.539996,2
1,0,3.6444342999893706,55.979998,3
1,0,2.981252700003097,57.539996,2
1,0,4.188943300017854,57.639993999999994,3
1,0,3.6256686999986414,57.089995,3
4,0,3.798524499987252,55.66,3
1,0,3.497442299994873,57.539996,2
9,0,4.414571200002683,56.19,3
1,0,4.462418600014644,58.639996,2
3,0,5.040527499979362,56.02,3
3,0,5.261008000001311,55.52,3
3,0,4.765372900001239,58.559995,3
1,0,4.695874400000321,58.409995,3
1,0,4.410388199990848,56.719998000000004,3
1,0,3.9776166999945417,58.079996,3
1,0,4.413259399996605,57.689994999999996,3
3,0,3.5014235000126064,54.66,3
1,0,2.826808700017864,57.539996,2
1,0,4.571471899980679,57.539994,3
4,0,4.351987400004873,58.679994,3
1,0,4.123212200007401,57.619994000000005,3
1,0,4.076099599973531,57.149997,3
1,0,3.763336400006665,56.909998,3
1,0,4.674718299997039,56.489997,3
1,0,4.147580399992876,56.319996,3
10,1,5.219790000002831,56.03,3
4,0,3.873722700023791,55.73,3
5,0,5.8764797000039835,55.75,3
5,0,4.951077700010501,56.17,3
1,0,3.597619499982102,58.639996,2
2,0,4.280364100006409,58.039995999999995,3
1,0,5.120237299997825,57.709995,3
1,0,4.970841900008963,56.819996,3
1,0,5.148311000026297,55.979998,3
1,0,4.441232200013474,58.019996000000006,2
1,0,2.708252000011271,57.539996,2
15,1,4.971879699995043,55.900000000000006,3
1,0,4.989608200005023,55.979998,3
10,0,5.242499099986162,55.870000000000005,3
3,0,3.898977799981367,54.66,3
1,0,4.6950441999943,58.979996,2
4,1,5.13869760002126,56.03,3
1,0,3.810980800015386,56.019996,3
1,0,2.774136099993484,58.319996,2
1,0,1.5083623999962583,57.539996,2
7,0,4.647801499988418,55.81,3
1,0,3.3156756999960635,58.319996,2
1,0,4.101054300001124,57.539994,3
3,0,3.9132930999912787,54.66,3
1,0,4.394790200021816,58.839997,2
3,0,2.706406799989054,58.539996,3
1,0,2.9519085999927483,58.319996,2
3,0,3.598992299987003,55.73,3
1,0,2.699665599997388,57.539996,2
9,0,3.076075099990703,55.86,3
2,0,4.635826499987161,58.799994,3
5,0,3.3387237999995705,55.540000000000006,3
1,0,2.9255604000063613,57.409995,3
4,0,3.740453800011892,55.489999999999995,3
1,0,4.851814199995715,58.639996,2
1,0,3.322574000019813,56.359996,3
1,0,4.289026900019962,57.649995000000004,3
1,0,4.808593099995051,56.199996,3
2,0,5.474789200001396,57.259997999999996,3
1,0,3.090783999999985,57.539996,2
1,0,4.899045500002103,57.119994,3
1,0,4.943323700019391,57.30999799999999,3
1,0,3.2216421000193805,57.539996,2
1,0,4.704731500009075,57.559996,3
1,0,3.0416340000228956,57.539996,2
1,0,4.145406499999808,57.099996,3
5,1,4.620581000024686,56.53,3
1,0,4.066111899999669,58.639996,2
5,0,4.773609299998498,56.75,3
1,0,3.4759167000011075,57.539996,2
1,0,3.6432416000170633,58.639996,2
2,1,4.09352840000065,57.569997,3
2,0,4.561022500012768,58.659994000000005,3
3,0,4.426116699993145,56.02,3
5,0,4.395558300020639,55.46,3
1,0,3.704535400000168,57.409995,3
1,0,4.229816999984905,57.149997,3
10,0,4.597703100007493,55.88,3
1,0,4.5649390000035055,57.159995,3
1,0,4.3656406000081915,55.819998,3
1,0,5.424627000000328,57.229998,3
3,0,3.567343599977903,58.539996,3
8,2,4.5217118000146,57.06,3
1,0,4.35406770001282,56.219997000000006,3
29,4,5.043585700012045,56.739999999999995,3
3,0,4.708523299981607,55.42,3
25,3,6.553865299996687,56.86,3
1,0,2.653984600008698,57.539996,2
1,0,3.9383438999939244,58.639996,2
1,0,4.166520600003423,58.639996,2
7,0,4.377936800010502,58.769995,3
5,2,4.4745939999993425,56.39,3
1,0,2.7727161000075284,57.539996,2
1,0,4.69717070000479,56.199996000000006,3
1,0,4.3999497999902815,58.639996,2
5,0,5.069419800012838,56.75,3
1,0,5.1869224999973085,57.709995,3
5,0,4.823365399992326,55.78,3
20,2,4.316421600000467,57.57,3
1,0,2.5531686000176705,57.539996,2
1,0,2.576935199991567,57.539996,2
1,0,3.430335399985779,57.539996,2
1,0,2.8713423000008333,57.539996,2
2,0,5.303521800000453,56.84,3
5,0,4.455120800004806,58.389996,3
1,0,4.3207094999961555,58.639996,2
1,0,4.406053999991855,57.479994000000005,3
2,0,4.77267259999644,58.659994000000005,3
1,0,4.4209871999919415,55.979998,3
1,0,4.378365400014445,58.639996,2
13,1,5.219153799989726,56.620000000000005,3
2,0,4.073792399984086,54.66,3
8,0,4.28711750000366,55.86,3
1,0,3.465023500000825,57.539996,2
1,0,4.217550499975914,57.559995,3
1,0,2.783719500002917,57.539996,2
1,0,3.509067099977983,58.319996,2
1,0,3.552549599990016,58.629995,3
4,0,3.4556381999864243,56.69,3
1,0,3.453624599991599,57.699996,2
3,0,4.380273499991745,58.849995,3
2,0,5.07418489997508,56.02,3
4,0,4.814384299999801,55.480000000000004,3
1,0,2.971163100010017,58.319996,2
6,1,3.7060535000055097,56.43,3
4,0,5.034543199988548,56.17,3
1,0,4.099727900000289,56.009998,3
2,0,3.8773180000134744,58.279993999999995,3
10,1,5.618788699997822,56.03,3
1,0,2.7257221000036225,58.319996,2
1,0,4.821361299982527,56.999995,3
1,0,4.67084690000047,57.539995,3
13,1,4.980180299986387,55.14,3
1,0,2.9876229999936186,57.539996,2
4,0,4.859231299982639,55.2,3
4,0,3.8048503000172786,55.489999999999995,3
23,5,5.119039999990491,57.36,3
2,0,4.337862199987285,54.66,3
5,0,2.893680199980736,57.979998,3
2,0,4.122828799998388,58.219994,3
1,0,3.7177420999796595,57.469997000000006,3
6,0,3.6476225999940652,56.24,3
1,0,3.2519573000026867,57.159994,3
1,0,5.110669200017583,57.079998,3
1,0,3.3791921000229195,57.019996000000006,3
1,0,5.1393325999961235,58.089996,3
1,0,4.070576900005108,57.519994,3
4,0,4.091458100010641,55.73,3
10,1,4.138345899991691,56.03,3
